company,title,site,deadline,url,job_text
기아(주),[인턴십] Frontier Business(수익성 데이터 분석),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53569202&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[인턴십] Frontier Business(수익성 데이터 분석)
SK텔레콤(주),데이터 분석 및 디지털 마케팅 담당자,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53605393&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,데이터 분석 및 디지털 마케팅 담당자
코오롱인더스트리(주),2026년 4월 경력사원 정기공채 (데이터분석),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53587719&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,2026년 4월 경력사원 정기공채 (데이터분석)
산업연구원,2026년 제1차 정규직 채용 공고 (산업경제데이터분석실),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53589413&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,2026년 제1차 정규직 채용 공고 (산업경제데이터분석실)
(주)사조시스템즈,"AI 추진팀 팀장 채용 (AI 전략, 데이터 분석, 업무 자동화)",Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53569423&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,"AI 추진팀 팀장 채용 (AI 전략, 데이터 분석, 업무 자동화)"
어니컴(주),[어니컴(주)] 데이터 분석 서비스 개발자 모집 (경력 무관),Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53396753&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[어니컴(주)] 데이터 분석 서비스 개발자 모집 (경력 무관)
(주)티빙,[티빙] 데이터 분석 (Data Analyst) 경력채용,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53625202&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[티빙] 데이터 분석 (Data Analyst) 경력채용
(주)에이디수산,(주)에이디수산 스마트팜 데이터 분석가 채용,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53603410&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,(주)에이디수산 스마트팜 데이터 분석가 채용
삼성서울병원,[삼성서울병원] 응급의학과 데이터분석 연구원 채용 공고,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53545505&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,[삼성서울병원] 응급의학과 데이터분석 연구원 채용 공고
세종파츠플러스(유),세종파츠플러스 MSC팀(데이터분석) 정규직원 채용,Saramin,확인필요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53583330&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=cbeddbe0-5901-422c-ba59-c7407642bc7d,세종파츠플러스 MSC팀(데이터분석) 정규직원 채용
